"Better Configurable Product Settings","Einstellungen für die Better-Configurable-Products Erweiterung"
"Update the display of the products media section","Die Media Sektion der Produktansicht aktualisieren"
"Update the display of the products short description","Die Kurzbeschreibung der Produktansicht aktualisieren"
"Update the display of the products collateral data","Die zusätzlichen Informationen der Produktansicht aktualisieren"
"Select the original theme your theme is based on","Wählen sie das Design aus, auf dem ihr Theme aufgebaut ist"
"Option Label Price Prefix","Präfix für die Preis-Anzeige bei Optionen"
"Option Label Price Suffix","Suffix für die Preis-Anzeige bei Optionen"
"Show the option price label if it is the same as the currently displayed product price","Preise für Optionen auch anzeigen wenn es der selbe ist wie der aktuell angezeigte Produkt-Preis"
"Unknown Price Option Label","Option Preis-Anzeige wenn noch nicht genügend Attribute gewählt wurden um den Produkt Preis zu bestimmen"
"Used only if theme setting above does not work. See the README for more information.","Nur benutzen wenn die Theme-Auswahl oben nicht ausreicht. Weitere Informationen in der README Datei."
"Media Section DOM XPath","Media Sektion DOM XPath"
"Media Section CSS Selector","Media Sektion CSS Selektor"
"Media Section JavaScript callback to prepare update","Media Sektion JavaScript Callback zur Vorbereitung der Aktualisierung"
"Media Section JavaScript callback to reinitialize image functionality","Media Sektion JavaScript Callback zur Re-Initialisierung der Bild-Funktionen"
"Short Description DOM XPath","Kurzbeschreibung DOM XPath"
"Short Description CSS Selector","Kurzbeschreibung CSS Selektor"
"Collateral Info DOM XPath","Collateral Info DOM XPath"
"Collateral Info CSS Selector","Collateral Info CSS Selektor"
"This setting may be overriden on a product level","Diese Einstellung kann auf Produktebene überschrieben werden"
"(please select to see price options below)","(bitte Auswählen um Preis-Optionen anzuzeigen)"
"Magento Default","Magento Default",
"Blue Skin","Blue Skin"
"Blank Theme","Blank Theme"
"Yoast Blank SEO Theme","Yoast Blank SEO Theme"
"Modern Theme","Modern Theme"
"Advanced (use advanced settings below)","Fortgeschritten (benutze die fortgeschrittenen Einstellungen unten)"
"Loading product update","Produkt-Ansicht wird aktualisiert"
"Update view to show images of selected simple product","Produktansicht aktualisieren um die Bilder des ausgewählten Simple Product anzuzeigen"
"Update view to show short description of selected simple product","Produktansicht aktualisieren um die Kurzbeschreibung des ausgewählten Simple Product anzuzeigen"
"Update view to show collateral section of selected simple product","Produktansicht aktualisieren um die zusätzlichen Informationen des ausgewählten Simple Product anzuzeigen"
"Use Store Setting","Store View Konfiguration benutzen"
"Yes","Ja"
"No","Nein"
"Default Simple Product","Standard Simple Product"
"Show spinner while ajax update is in progress","Rotor-Grafik anzeigen während Ajax-Anfrage"
"[SKU %s] Please do not use the Standard Price Options with the Better Configurable Products Extension (they will be added to the selected simple products price)!","[SKU %s] Bitte benutzen Sie keine Standard-Preis-Optionen mit der Better Configurable Product Erweiterung (sie werden zu dem Preis des Simple Products hinzugefügt)!"
"Use the cheapest child product as the default product","Preiswertesten Artikel als Standard verwenden"
"Will be set to the cheapest simple product when saved.","Wird beim Speichern auf das günstigste Simple Product gesetzt."
"Update the price block","Preis Block aktualisieren"
"This setting can not be overriden on a product level","Diese Einstellung kann nicht auf Produktebene überschrieben werden"
"Price DOM XPath","Preis DOM Xpath"
"Price CSS Selector","Preis CSS Selektor"
"Advanced Settings","Erweiterte Einstellungen"
